Report Month,Department,Avg Office Days/Week
2022-12,2120 - Alcoholic Beverage Control Appeals Board,0.92
2022-12,2240 - Department of Housing and Community Development,0.96
2022-12,2320 - Department of Real Estate,1.69
2022-12,2600 - California Transportation Commission,0.86
2022-12,2660 - Department of Transportation,2.89
2022-12,2665 - High-Speed Rail Authority,1.16
2022-12,2700 - California Traffic Safety Program,1.06
2022-12,2720 - California Highway Patrol,4.89
2022-12,2740 - Department of Motor Vehicles,4.19
2022-12,3100 - Exposition Park,3.92
2022-12,3105 - California African-American Museum,0
2022-12,3125 - California Tahoe Conservancy,1.7
2022-12,3340 - California Conservation Corps,3.71
2022-12,3355 - Office of Energy Infrastructure Safety,0.72
2022-12,3360 - Energy Resources Conservation and Development Commission,0.24
2022-12,3480 - Department of Conservation,0.95
2022-12,3540 - Department of Forestry and Fire Protection,4.76
2022-12,3560 - State Lands Commission,1.73
2022-12,3600 - Department of Fish and Wildlife,2.74
2022-12,3640 - Wildlife Conservation Board,1.57
2022-12,3720 - California Coastal Commission,1.21
2022-12,3760 - State Coastal Conservancy,0.43
2022-12,3780 - Native American Heritage Commission,0.38
2022-12,3790 - Department of Parks and Recreation,3.12
2022-12,3810 - Santa Monica Mountains Conservancy,0
2022-12,3820 - San Francisco Bay Conservation and Development Commission,1.06
2022-12,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1.7
2022-12,3830 - San Joaquin River Conservancy,0.33
2022-12,3835 - Baldwin Hills Conservancy,1
2022-12,3840 - Delta Protection Commission,1.93
2022-12,3845 - San Diego River Conservancy,5
2022-12,3850 - Coachella Valley Mountains Conservancy,3.13
2022-12,3855 - Sierra Nevada Conservancy,0.9
2022-12,3860 - Department of Water Resources,3.04
2022-12,3862 - Central Valley Flood Protection Board,0.94
2022-12,3875 - Sacramento-San Joaquin Delta Conservancy,0.13
2022-12,3885 - Delta Stewardship Council,0.41
2022-12,3930 - Department of Pesticide Regulation,0.89
2022-12,3940 - State Water Resources Control Board,1.15
2022-12,3960 - Department of Toxic Substances Control,1.09
2022-12,3970 - Department of Resources Recycling and Recovery,0.43
2022-12,3980 - Office of Environmental Health Hazard Assessment,0.16
2022-12,4100 - State Council on Developmental Disabilities,1.44
2022-12,4140 - Department of Health Care Access and Information,1.79
2022-12,4150 - Department of Managed Health Care,0.04
2022-12,4170 - Department of Aging,0.28
2022-12,4250 - California Children and Families Commission,1.87
2022-12,4260 - State Department of Health Care Services,1.04
2022-12,4265 - Department of Public Health,1.79
2022-12,4300 - Department of Developmental Services,3.35
2022-12,4440 - Department of State Hospitals,4.65
2022-12,4560 - Mental Health Services Oversight and Accountability Commission,1.8
2022-12,4700 - Department of Community Services and Development,0.06
2022-12,4800 - California Health Benefit Exchange,0.28
2022-12,5160 - Department of Rehabilitation,2.24
2022-12,5170 - State Independent Living Council,0
2022-12,5175 - Department of Child Support Services,0.2
2022-12,5180 - Department of Social Services,1.83
2022-12,5225 - Department of Corrections and Rehabilitation,4.61
2022-12,5227 - Board of State and Community Corrections,1.35
2022-12,5420 - Prison Industry Authority,4.21
2022-12,6100 - Department of Education,1.02
2022-12,6120 - California State Library,1.69
2022-12,6125 - Education Audit Appeals Panel,1.33
2022-12,6240 - California School for the Deaf - Fremont,0
2022-12,6250 - California School for the Deaf - Riverside,4.71
2022-12,6360 - Commission on Teacher Credentialing,1.81
2022-12,6870 - Board of Governors of the California Community Colleges,0
2022-12,"6980 - Student Aid Commission, California",0.57
2022-12,7100 - Employment Development Department,0.63
2022-12,7120 - California Workforce Development Board,0
2022-12,7300 - Agricultural Labor Relations Board,2.06
2022-12,7320 - Public Employment Relations Board,2.01
2022-12,7350 - Department of Industrial Relations,3.36
2022-12,7501 - Department of Human Resources,0.9
2022-12,7502 - California Department of Technology,0.53
2022-12,7503 - State Personnel Board,0.44
2022-12,7504 - Office of Data and Innovation,0.11
2022-12,7600 - California Department of Tax and Fee Administration,0.46
2022-12,7730 - Franchise Tax Board,2.8
2022-12,7760 - Department of General Services,3.13
2022-12,7870 - California Victim Compensation Board,1.19
2022-12,7900 - Public Employees' Retirement System,2.76
2022-12,7910 - Office of Administrative Law,2.07
2022-12,7920 - State Teachers' Retirement System,2.17
2022-12,8120 - Commission on Peace Officer Standards and Training,2.79
2022-12,8140 - State Public Defender,1.35
2022-12,8560 - California Exposition and State Fair,2.99
2022-12,8570 - Department of Food and Agriculture,2.39
2022-12,8620 - Fair Political Practices Commission,0.49
2022-12,8660 - Public Utilities Commission,0.55
2022-12,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0.5
2022-12,8825 - Commission on Asian and Pacific Islander American Affairs,0
2022-12,"8830 - Law Revision Commission, California",0
2022-12,8860 - Department of Finance,1.82
2022-12,8880 - Financial Information System for California,0.14
2022-12,"8885 - States Mandates, Commission on",1.39
2022-12,8940 - Military Department,4.13
2022-12,8955 - Department of Veterans Affairs,4.5
2022-12,A059 - California Correctional Health Care Services,4.37
2022-12,A279 - Unemployment Insurance Appeals Board,2.6
2022-12,A281 - Employment Training Panel,1.47
2022-12,A314 - California Science Center,4.38
2022-12,A341 - California Earthquake Authority,0.28
2022-12,A424 - Cradle-to-Career,1.2
2022-12,A541 - Board of Forestry and Fire Protection,2.2
2023-01,0500 - Governor's Office,2.65
2023-01,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.7
2023-01,0511 - Secretary for Government Operations Agency,1.57
2023-01,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.8
2023-01,0521 - Secretary for Transportation Agency,2.12
2023-01,0530 - Secretary for California Health and Human Services Agency,0.61
2023-01,0531 - Office of Systems Integration,0.15
2023-01,0540 - Secretary of the Natural Resources Agency,0.64
2023-01,0552 - Office of the Inspector General,0.48
2023-01,0555 - Secretary for Environmental Protection,2.29
2023-01,0559 - Secretary for Labor and Workforce Development Agency,2.53
2023-01,0650 - Office of Planning and Research,0.6
2023-01,0690 - Governor's Office of Emergency Services,2.19
2023-01,0820 - Department of Justice,1.56
2023-01,0840 - State Controller,1.45
2023-01,0845 - Department of Insurance,1.65
2023-01,0855 - California Gambling Control Commission,0.45
2023-01,0860 - State Board of Equalization,1.68
2023-01,0911 - Citizens Redistricting Commission,0.83
2023-01,1045 - Cannabis Control Appeals Panel,1.13
2023-01,1111 - Department of Consumer Affairs,2.34
2023-01,1115 - Department of Cannabis Control,1.83
2023-01,1700 - California Civil Rights Department,0.42
2023-01,1701 - Department of Financial Protection and Innovation,0.55
2023-01,1703 - California Privacy Protection Agency,0
2023-01,1750 - California Horse Racing Board,2.76
2023-01,2100 - Department of Alcoholic Beverage Control,2.68
2023-01,2120 - Alcoholic Beverage Control Appeals Board,0.92
2023-01,2240 - Department of Housing and Community Development,1.01
2023-01,2320 - Department of Real Estate,1.69
2023-01,2600 - California Transportation Commission,0.86
2023-01,2660 - Department of Transportation,2.89
2023-01,2665 - High-Speed Rail Authority,1.18
2023-01,2700 - California Traffic Safety Program,1.06
2023-01,2720 - California Highway Patrol,4.91
2023-01,2740 - Department of Motor Vehicles,4.09
2023-01,3100 - Exposition Park,3.77
2023-01,3105 - California African-American Museum,0
2023-01,3125 - California Tahoe Conservancy,1.7
2023-01,3340 - California Conservation Corps,3.74
2023-01,3355 - Office of Energy Infrastructure Safety,0.73
2023-01,3360 - Energy Resources Conservation and Development Commission,0.23
2023-01,3480 - Department of Conservation,0.95
2023-01,3540 - Department of Forestry and Fire Protection,4.7
2023-01,3560 - State Lands Commission,1.59
2023-01,3600 - Department of Fish and Wildlife,2.75
2023-01,3640 - Wildlife Conservation Board,1.64
2023-01,3720 - California Coastal Commission,1.21
2023-01,3760 - State Coastal Conservancy,0.43
2023-01,3780 - Native American Heritage Commission,2.38
2023-01,3790 - Department of Parks and Recreation,2.95
2023-01,3810 - Santa Monica Mountains Conservancy,0
2023-01,3820 - San Francisco Bay Conservation and Development Commission,1.07
2023-01,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1
2023-01,3830 - San Joaquin River Conservancy,0.5
2023-01,3835 - Baldwin Hills Conservancy,2
2023-01,3840 - Delta Protection Commission,1.93
2023-01,3845 - San Diego River Conservancy,5
2023-01,3850 - Coachella Valley Mountains Conservancy,3.13
2023-01,3855 - Sierra Nevada Conservancy,1.02
2023-01,3860 - Department of Water Resources,3.07
2023-01,3862 - Central Valley Flood Protection Board,1.05
2023-01,3875 - Sacramento-San Joaquin Delta Conservancy,0.47
2023-01,3885 - Delta Stewardship Council,0.42
2023-01,3900 - State Air Resources Board,1.91
2023-01,3930 - Department of Pesticide Regulation,0.86
2023-01,3940 - State Water Resources Control Board,1.05
2023-01,3960 - Department of Toxic Substances Control,1.1
2023-01,3970 - Department of Resources Recycling and Recovery,0.48
2023-01,3980 - Office of Environmental Health Hazard Assessment,0.16
2023-01,4100 - State Council on Developmental Disabilities,1.44
2023-01,4140 - Department of Health Care Access and Information,1.71
2023-01,4150 - Department of Managed Health Care,0.04
2023-01,4170 - Department of Aging,0.27
2023-01,4250 - California Children and Families Commission,1.87
2023-01,4260 - State Department of Health Care Services,1.06
2023-01,4265 - Department of Public Health,1.79
2023-01,4300 - Department of Developmental Services,3.38
2023-01,4440 - Department of State Hospitals,4.65
2023-01,4560 - Mental Health Services Oversight and Accountability Commission,1.8
2023-01,4700 - Department of Community Services and Development,0.06
2023-01,4800 - California Health Benefit Exchange,0.27
2023-01,5160 - Department of Rehabilitation,2.24
2023-01,5170 - State Independent Living Council,0
2023-01,5175 - Department of Child Support Services,0.2
2023-01,5180 - Department of Social Services,1.8
2023-01,5225 - Department of Corrections and Rehabilitation,4.59
2023-01,5227 - Board of State and Community Corrections,1.35
2023-01,5420 - Prison Industry Authority,4.21
2023-01,6100 - Department of Education,1.04
2023-01,6120 - California State Library,1.68
2023-01,6125 - Education Audit Appeals Panel,1.33
2023-01,6240 - California School for the Deaf - Fremont,0
2023-01,6250 - California School for the Deaf - Riverside,4.71
2023-01,6360 - Commission on Teacher Credentialing,1.79
2023-01,6870 - Board of Governors of the California Community Colleges,0
2023-01,"6980 - Student Aid Commission, California",0.57
2023-01,7100 - Employment Development Department,1.12
2023-01,7120 - California Workforce Development Board,0
2023-01,7300 - Agricultural Labor Relations Board,2.09
2023-01,7320 - Public Employment Relations Board,2.05
2023-01,7350 - Department of Industrial Relations,3.36
2023-01,7501 - Department of Human Resources,0.87
2023-01,7502 - California Department of Technology,0.53
2023-01,7503 - State Personnel Board,0.43
2023-01,7504 - Office of Data and Innovation,0.1
2023-01,7600 - California Department of Tax and Fee Administration,0.49
2023-01,7730 - Franchise Tax Board,2.55
2023-01,7760 - Department of General Services,3.16
2023-01,7870 - California Victim Compensation Board,1.21
2023-01,7900 - Public Employees' Retirement System,2.73
2023-01,7910 - Office of Administrative Law,2.07
2023-01,7920 - State Teachers' Retirement System,2.16
2023-01,8120 - Commission on Peace Officer Standards and Training,2.6
2023-01,8140 - State Public Defender,1.38
2023-01,8560 - California Exposition and State Fair,3.43
2023-01,8570 - Department of Food and Agriculture,2.38
2023-01,8620 - Fair Political Practices Commission,0.51
2023-01,8660 - Public Utilities Commission,0.58
2023-01,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",0.6
2023-01,"8830 - Law Revision Commission, California",0
2023-01,8860 - Department of Finance,1.83
2023-01,8880 - Financial Information System for California,0.12
2023-01,"8885 - States Mandates, Commission on",1.19
2023-01,8940 - Military Department,4.11
2023-01,8955 - Department of Veterans Affairs,4.5
2023-01,A059 - California Correctional Health Care Services,4.35
2023-01,A279 - Unemployment Insurance Appeals Board,2.62
2023-01,A281 - Employment Training Panel,1.76
2023-01,A314 - California Science Center,4.38
2023-01,A341 - California Earthquake Authority,0.42
2023-01,A424 - Cradle-to-Career,1.11
2023-01,A541 - Board of Forestry and Fire Protection,1.82
2023-02,0500 - Governor's Office,2.73
2023-02,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.71
2023-02,0511 - Secretary for Government Operations Agency,1.57
2023-02,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.82
2023-02,0521 - Secretary for Transportation Agency,2.16
2023-02,0530 - Secretary for California Health and Human Services Agency,0.66
2023-02,0531 - Office of Systems Integration,0.15
2023-02,0540 - Secretary of the Natural Resources Agency,0.64
2023-02,0552 - Office of the Inspector General,0.39
2023-02,0555 - Secretary for Environmental Protection,2.24
2023-02,0559 - Secretary for Labor and Workforce Development Agency,2.53
2023-02,0650 - Office of Planning and Research,0.6
2023-02,0690 - Governor's Office of Emergency Services,2.38
2023-02,0820 - Department of Justice,1.16
2023-02,0840 - State Controller,1.46
2023-02,0845 - Department of Insurance,1.64
2023-02,0855 - California Gambling Control Commission,0.46
2023-02,0860 - State Board of Equalization,1.69
2023-02,0870 - Office of Tax Appeals,1.49
2023-02,0911 - Citizens Redistricting Commission,0.6
2023-02,1045 - Cannabis Control Appeals Panel,1.13
2023-02,1111 - Department of Consumer Affairs,2.34
2023-02,1115 - Department of Cannabis Control,1.84
2023-02,1700 - California Civil Rights Department,0.42
2023-02,1701 - Department of Financial Protection and Innovation,0.53
2023-02,1703 - California Privacy Protection Agency,0
2023-02,1750 - California Horse Racing Board,2.82
2023-02,2100 - Department of Alcoholic Beverage Control,2.69
2023-02,2120 - Alcoholic Beverage Control Appeals Board,0.92
2023-02,2240 - Department of Housing and Community Development,0.99
2023-02,2320 - Department of Real Estate,1.62
2023-02,2600 - California Transportation Commission,0.86
2023-02,2660 - Department of Transportation,2.89
2023-02,2665 - High-Speed Rail Authority,1.17
2023-02,2700 - California Traffic Safety Program,1.25
2023-02,2720 - California Highway Patrol,4.92
2023-02,2740 - Department of Motor Vehicles,4.03
2023-02,3100 - Exposition Park,3.77
2023-02,3105 - California African-American Museum,0
2023-02,3125 - California Tahoe Conservancy,1.7
2023-02,3340 - California Conservation Corps,3.76
2023-02,3355 - Office of Energy Infrastructure Safety,0.73
2023-02,3360 - Energy Resources Conservation and Development Commission,0.2
2023-02,3480 - Department of Conservation,0.94
2023-02,3540 - Department of Forestry and Fire Protection,4.7
2023-02,3560 - State Lands Commission,1.52
2023-02,3600 - Department of Fish and Wildlife,2.74
2023-02,3640 - Wildlife Conservation Board,1.74
2023-02,3720 - California Coastal Commission,1.21
2023-02,3760 - State Coastal Conservancy,0.43
2023-02,3780 - Native American Heritage Commission,2.38
2023-02,3790 - Department of Parks and Recreation,2.9
2023-02,3810 - Santa Monica Mountains Conservancy,0
2023-02,3820 - San Francisco Bay Conservation and Development Commission,1.06
2023-02,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1
2023-02,3830 - San Joaquin River Conservancy,0.5
2023-02,3835 - Baldwin Hills Conservancy,2
2023-02,3840 - Delta Protection Commission,1.86
2023-02,3845 - San Diego River Conservancy,5
2023-02,3850 - Coachella Valley Mountains Conservancy,3.13
2023-02,3855 - Sierra Nevada Conservancy,1.04
2023-02,3860 - Department of Water Resources,3.08
2023-02,3862 - Central Valley Flood Protection Board,1.08
2023-02,3875 - Sacramento-San Joaquin Delta Conservancy,0.63
2023-02,3885 - Delta Stewardship Council,0.47
2023-02,3900 - State Air Resources Board,1.97
2023-02,3930 - Department of Pesticide Regulation,0.86
2023-02,3940 - State Water Resources Control Board,1.06
2023-02,3960 - Department of Toxic Substances Control,1.1
2023-02,3970 - Department of Resources Recycling and Recovery,0.44
2023-02,3980 - Office of Environmental Health Hazard Assessment,0.16
2023-02,4100 - State Council on Developmental Disabilities,1.46
2023-02,4140 - Department of Health Care Access and Information,1.68
2023-02,4150 - Department of Managed Health Care,0.04
2023-02,4170 - Department of Aging,0.27
2023-02,4250 - California Children and Families Commission,1.87
2023-02,4260 - State Department of Health Care Services,1.22
2023-02,4265 - Department of Public Health,1.79
2023-02,4300 - Department of Developmental Services,3.35
2023-02,4440 - Department of State Hospitals,4.62
2023-02,4560 - Mental Health Services Oversight and Accountability Commission,1.86
2023-02,4700 - Department of Community Services and Development,0.06
2023-02,4800 - California Health Benefit Exchange,0.25
2023-02,5160 - Department of Rehabilitation,2.23
2023-02,5170 - State Independent Living Council,0
2023-02,5175 - Department of Child Support Services,0.19
2023-02,5180 - Department of Social Services,1.81
2023-02,5225 - Department of Corrections and Rehabilitation,4.75
2023-02,5227 - Board of State and Community Corrections,1.35
2023-02,5420 - Prison Industry Authority,4.22
2023-02,6100 - Department of Education,1.08
2023-02,6120 - California State Library,1.69
2023-02,6125 - Education Audit Appeals Panel,1.33
2023-02,6200 - California School for the Blind,4.91
2023-02,6250 - California School for the Deaf - Riverside,4.7
2023-02,6260 - Diagnostic Centers,4.76
2023-02,6360 - Commission on Teacher Credentialing,1.87
2023-02,6870 - Board of Governors of the California Community Colleges,0
2023-02,"6980 - Student Aid Commission, California",0.57
2023-02,7100 - Employment Development Department,1.11
2023-02,7120 - California Workforce Development Board,0
2023-02,7300 - Agricultural Labor Relations Board,2.05
2023-02,7320 - Public Employment Relations Board,2.05
2023-02,7350 - Department of Industrial Relations,3.34
2023-02,7501 - Department of Human Resources,0.89
2023-02,7502 - California Department of Technology,0.55
2023-02,7503 - State Personnel Board,0.48
2023-02,7504 - Office of Data and Innovation,0.21
2023-02,7600 - California Department of Tax and Fee Administration,0.47
2023-02,7730 - Franchise Tax Board,2.33
2023-02,7760 - Department of General Services,3.11
2023-02,7870 - California Victim Compensation Board,1.2
2023-02,7900 - Public Employees' Retirement System,2.73
2023-02,7910 - Office of Administrative Law,2.07
2023-02,7920 - State Teachers' Retirement System,2.19
2023-02,8120 - Commission on Peace Officer Standards and Training,2.62
2023-02,8140 - State Public Defender,1.38
2023-02,8560 - California Exposition and State Fair,3.53
2023-02,8570 - Department of Food and Agriculture,2.29
2023-02,8620 - Fair Political Practices Commission,0.51
2023-02,8660 - Public Utilities Commission,0.67
2023-02,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",1.43
2023-02,"8830 - Law Revision Commission, California",0
2023-02,8860 - Department of Finance,1.83
2023-02,8880 - Financial Information System for California,0.13
2023-02,"8885 - States Mandates, Commission on",1.19
2023-02,8940 - Military Department,4.1
2023-02,8955 - Department of Veterans Affairs,4.49
2023-02,A059 - California Correctional Health Care Services,4.35
2023-02,A279 - Unemployment Insurance Appeals Board,2.51
2023-02,A281 - Employment Training Panel,1.76
2023-02,A314 - California Science Center,4.39
2023-02,A341 - California Earthquake Authority,0.42
2023-02,A424 - Cradle-to-Career,1.2
2023-02,A541 - Board of Forestry and Fire Protection,2
2023-03,0500 - Governor's Office,2.77
2023-03,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.73
2023-03,0511 - Secretary for Government Operations Agency,1.72
2023-03,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.8
2023-03,0521 - Secretary for Transportation Agency,2.16
2023-03,0530 - Secretary for California Health and Human Services Agency,0.72
2023-03,0531 - Office of Systems Integration,0.13
2023-03,0540 - Secretary of the Natural Resources Agency,0.79
2023-03,0552 - Office of the Inspector General,0.4
2023-03,0555 - Secretary for Environmental Protection,2.27
2023-03,0559 - Secretary for Labor and Workforce Development Agency,2.59
2023-03,0650 - Office of Planning and Research,0.61
2023-03,0690 - Governor's Office of Emergency Services,2.44
2023-03,0820 - Department of Justice,1.66
2023-03,0840 - State Controller,1.44
2023-03,0845 - Department of Insurance,1.64
2023-03,0855 - California Gambling Control Commission,0.48
2023-03,0860 - State Board of Equalization,1.7
2023-03,0870 - Office of Tax Appeals,1.36
2023-03,0911 - Citizens Redistricting Commission,0.6
2023-03,1045 - Cannabis Control Appeals Panel,1.13
2023-03,1111 - Department of Consumer Affairs,2.34
2023-03,1115 - Department of Cannabis Control,1.84
2023-03,1700 - California Civil Rights Department,0.42
2023-03,1701 - Department of Financial Protection and Innovation,0.52
2023-03,1703 - California Privacy Protection Agency,0
2023-03,1750 - California Horse Racing Board,2.81
2023-03,2100 - Department of Alcoholic Beverage Control,2.64
2023-03,2120 - Alcoholic Beverage Control Appeals Board,0.92
2023-03,2240 - Department of Housing and Community Development,0.94
2023-03,2320 - Department of Real Estate,1.66
2023-03,2600 - California Transportation Commission,0.86
2023-03,2660 - Department of Transportation,2.95
2023-03,2665 - High-Speed Rail Authority,1.15
2023-03,2700 - California Traffic Safety Program,1.27
2023-03,2720 - California Highway Patrol,4.9
2023-03,2740 - Department of Motor Vehicles,3.99
2023-03,3100 - Exposition Park,4.27
2023-03,3105 - California African-American Museum,0
2023-03,3125 - California Tahoe Conservancy,1.7
2023-03,3340 - California Conservation Corps,3.76
2023-03,3355 - Office of Energy Infrastructure Safety,0.62
2023-03,3360 - Energy Resources Conservation and Development Commission,0.2
2023-03,3480 - Department of Conservation,0.95
2023-03,3540 - Department of Forestry and Fire Protection,4.69
2023-03,3560 - State Lands Commission,1.51
2023-03,3600 - Department of Fish and Wildlife,2.77
2023-03,3640 - Wildlife Conservation Board,1.49
2023-03,3720 - California Coastal Commission,1.21
2023-03,3760 - State Coastal Conservancy,0.43
2023-03,3780 - Native American Heritage Commission,2.38
2023-03,3790 - Department of Parks and Recreation,2.97
2023-03,3810 - Santa Monica Mountains Conservancy,0
2023-03,3820 - San Francisco Bay Conservation and Development Commission,1.04
2023-03,3825 - San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,1
2023-03,3830 - San Joaquin River Conservancy,0.5
2023-03,3835 - Baldwin Hills Conservancy,2
2023-03,3840 - Delta Protection Commission,1.86
2023-03,3845 - San Diego River Conservancy,5
2023-03,3850 - Coachella Valley Mountains Conservancy,3.13
2023-03,3855 - Sierra Nevada Conservancy,1.08
2023-03,3860 - Department of Water Resources,2.92
2023-03,3862 - Central Valley Flood Protection Board,1.05
2023-03,3875 - Sacramento-San Joaquin Delta Conservancy,0.51
2023-03,3885 - Delta Stewardship Council,0.52
2023-03,3900 - State Air Resources Board,1.97
2023-03,3930 - Department of Pesticide Regulation,0.88
2023-03,3940 - State Water Resources Control Board,1.16
2023-03,3960 - Department of Toxic Substances Control,1.1
2023-03,3970 - Department of Resources Recycling and Recovery,0.43
2023-03,3980 - Office of Environmental Health Hazard Assessment,0.16
2023-03,4100 - State Council on Developmental Disabilities,1.46
2023-03,4140 - Department of Health Care Access and Information,1.64
2023-03,4150 - Department of Managed Health Care,0.04
2023-03,4170 - Department of Aging,0.28
2023-03,4250 - California Children and Families Commission,1.89
2023-03,4260 - State Department of Health Care Services,1.28
2023-03,4265 - Department of Public Health,1.79
2023-03,4300 - Department of Developmental Services,3.51
2023-03,4440 - Department of State Hospitals,4.62
2023-03,4560 - Mental Health Services Oversight and Accountability Commission,1.92
2023-03,4700 - Department of Community Services and Development,0.06
2023-03,4800 - California Health Benefit Exchange,0.26
2023-03,5160 - Department of Rehabilitation,2.23
2023-03,5170 - State Independent Living Council,0
2023-03,5175 - Department of Child Support Services,0.19
2023-03,5180 - Department of Social Services,1.8
2023-03,5225 - Department of Corrections and Rehabilitation,4.64
2023-03,5227 - Board of State and Community Corrections,1.35
2023-03,5420 - Prison Industry Authority,4.22
2023-03,6100 - Department of Education,1.09
2023-03,6120 - California State Library,1.64
2023-03,6125 - Education Audit Appeals Panel,1.33
2023-03,6200 - California School for the Blind,4.9
2023-03,6240 - California School for the Deaf - Fremont,0
2023-03,6250 - California School for the Deaf - Riverside,4.72
2023-03,6260 - Diagnostic Centers,4.76
2023-03,6360 - Commission on Teacher Credentialing,1.91
2023-03,6870 - Board of Governors of the California Community Colleges,0
2023-03,"6980 - Student Aid Commission, California",0.57
2023-03,7100 - Employment Development Department,1.13
2023-03,7120 - California Workforce Development Board,0
2023-03,7300 - Agricultural Labor Relations Board,1.98
2023-03,7320 - Public Employment Relations Board,2.04
2023-03,7350 - Department of Industrial Relations,3.34
2023-03,7501 - Department of Human Resources,1
2023-03,7502 - California Department of Technology,0.51
2023-03,7503 - State Personnel Board,0.46
2023-03,7504 - Office of Data and Innovation,0.21
2023-03,7600 - California Department of Tax and Fee Administration,0.47
2023-03,7730 - Franchise Tax Board,2.63
2023-03,7760 - Department of General Services,3.12
2023-03,7870 - California Victim Compensation Board,1.2
2023-03,7900 - Public Employees' Retirement System,2.78
2023-03,7910 - Office of Administrative Law,2.1
2023-03,7920 - State Teachers' Retirement System,2.18
2023-03,8120 - Commission on Peace Officer Standards and Training,2.59
2023-03,8140 - State Public Defender,1.22
2023-03,8560 - California Exposition and State Fair,3.53
2023-03,8570 - Department of Food and Agriculture,2.45
2023-03,8620 - Fair Political Practices Commission,0.51
2023-03,8660 - Public Utilities Commission,0.67
2023-03,"8780 - Milton Marks ""Little Hoover"" Commission on California State Government Organization and Economy",1.43
2023-03,8825 - Commission on Asian and Pacific Islander American Affairs,0
2023-03,"8830 - Law Revision Commission, California",0
2023-03,8860 - Department of Finance,1.83
2023-03,8880 - Financial Information System for California,0.16
2023-03,"8885 - States Mandates, Commission on",1
2023-03,8940 - Military Department,4.09
2023-03,8955 - Department of Veterans Affairs,4.48
2023-03,A059 - California Correctional Health Care Services,4.34
2023-03,A279 - Unemployment Insurance Appeals Board,2.53
2023-03,A281 - Employment Training Panel,1.76
2023-03,A314 - California Science Center,4.4
2023-03,A341 - California Earthquake Authority,0.42
2023-03,A424 - Cradle-to-Career,1
2023-03,A541 - Board of Forestry and Fire Protection,1.8
2023-04,0500 - Governor's Office,2.73
2023-04,0509 - Governor's Office of Business and Economic Development (GO-Biz),0.75
2023-04,0511 - Secretary for Government Operations Agency,1.77
2023-04,"0515 - Secretary for Business, Consumer Services, and Housing Agency",0.77
2023-04,0521 - Secretary for Transportation Agency,2.16
2023-04,0530 - Secretary for California Health and Human Services Agency,0.72
2023-04,0531 - Office of Systems Integration,0.12
2023-04,0540 - Secretary of the Natural Resources Agency,0.78
2023-04,0552 - Office of the Inspector General,0.39
2023-04,0555 - Secretary for Environmental Protection,2.21
2023-04,0559 - Secretary for Labor and Workforce Development Agency,2.66
2023-04,0650 - Office of Planning and Research,0.62
2023-04,0690 - Governor's Office of Emergency Services,2.3
2023-04,0820 - Department of Justice,1.62
2023-04,0840 - State Controller,1.44
2023-04,0845 - Department of Insurance,1.62
2023-04,0855 - California Gambling Control Commission,0.46
2023-04,0860 - State Board of Equalization,1.68
2023-04,0870 - Office of Tax Appeals,1.37
2023-04,0890 - Secretary of State,2
2023-04,0911 - Citizens Redistricting Commission,0.6
2023-04,1045 - Cannabis Control Appeals Panel,1.13
2023-04,1111 - Department of Consumer Affairs,2.34
2023-04,1115 - Department of Cannabis Control,1.84
2023-04,1700 - California Civil Rights Department,0.42
2023-04,1701 - Department of Financial Protection and Innovation,0.52
2023-04,1703 - California Privacy Protection Agency,0
2023-04,1750 - California Horse Racing Board,2.8
2023-04,2100 - Department of Alcoholic Beverage Control,2.64
2023-04,2120 - Alcoholic Beverage Control Appeals Board,1.08
2023-04,2240 - Department of Housing and Community Development,0.94
2023-04,2600 - California Transportation Commission,0.86
2023-04,2660 - Department of Transportation,2.95
2023-04,2665 - High-Speed Rail Authority,1.15
2023-04,2700 - California Traffic Safety Program,1.27
2023-04,2720 - California Highway Patrol,4.89
2023-04,2740 - Department of Motor Vehicles,3.98
2023-04,3100 - Exposition Park,4.19
2023-04,3105 - California African-American Museum,0
2023-04,3125 - California Tahoe Conservancy,1.7
2023-04,3340 - California Conservation Corps,3.78
2023-04,3355 - Office of Energy Infrastructure Safety,0.56
2023-04,3360 - Energy Resources Conservation and Development Commission,0.2
2023-04,3480 - Department of Conservation,0.98
2023-04,3540 - Department of Forestry and Fire Protection,4.72
2023-04,3560 - State Lands Commission,1.53
2023-04,3600 - Department of Fish and Wildlife,2.78
2023-04,3640 - Wildlife Conservation Board,1.94
2023-04,3720 - California Coastal Commission,1.21
2023-04,3760 - State Coastal Conservancy,0.44
2023-04,3780 - Native American Heritage Commission,2.38
